iter	Passed	Remaining
433	1547	69786
434	1552	69806
435	1555	69812
436	1558	69780
437	1563	69810
438	1566	69814
439	1570	69835
440	1574	69825
441	1577	69799
442	1581	69810
443	1585	69845
444	1589	69843
445	1592	69819
446	1597	69861
447	1600	69853
448	1604	69844
449	1607	69826
450	1609	69781
451	1613	69800
452	1617	69802
453	1621	69811
454	1626	69854
455	1630	69877
456	1633	69862
457	1637	69862
458	1640	69851
459	1644	69853
460	1647	69807
461	1650	69791
462	1654	69816
463	1657	69799
464	1661	69816
465	1664	69772
466	1667	69747
467	1671	69762
468	1675	69759
469	1678	69761
470	1681	69728
471	1685	69715
472	1688	69714
473	1692	69737
474	1696	69720
475	1698	69680
476	1702	69665
477	1705	69650
478	1709	69652
479	1712	69647
480	1716	69654
481	1720	69657
482	1724	69690
483	1728	69682
484	1732	69706
485	1736	69714
486	1740	69753
487	1745	69780
488	1749	69798
489	1752	69781
490	1756	69805
491	1760	69817
492	1765	69843
493	1769	69862
494	1772	69848
495	1777	69879
496	1779	69829
497	1782	69814
498	1787	69842
499	1790	69823
500	1794	69823
501	1797	69825
502	1802	69859
503	1806	69874
504	1809	69866
505	1813	69873
506	1816	69854
507	1819	69821
508	1823	69812
509	1826	69796
510	1830	69808
511	1833	69781
512	1837	69786
513	1840	69772
514	1843	69736
515	1847	69755
516	1849	69688
517	1852	69687
518	1856	69703
519	1860	69690
520	1863	69670
521	1866	69659
522	1869	69639
523	1873	69627
524	1876	69610
525	1880	69611
526	1884	69622
527	1889	69665
528	1891	69638
529	1895	69624
530	1899	69641
531	1903	69638
532	1905	69606
533	1908	69566
534	1911	69548
535	1914	69537
536	1917	69492
537	1921	69499
538	1923	69456
539	1926	69443
540	1929	69398
541	1934	69437
542	1937	69438
543	1942	69465
544	1945	69464
545	1948	69442
546	1953	69469
547	1957	69492
548	1960	69474
549	1964	69479
550	1967	69458
551	1971	69471
552	1974	69445
553	1978	69458
554	1982	69463
555	1985	69450
556	1989	69450
557	1993	69442
558	1997	69464
559	2001	69466
560	2005	69490
561	2009	69488
562	2013	69502
563	2015	69468
564	2019	69471
565	2022	69451
566	2026	69443
567	2029	69437
568	2033	69431
569	2037	69441
570	2039	69399
571	2042	69378
572	2045	69335
573	2048	69320
574	2051	69311
575	2054	69294
576	2059	69316
577	2061	69278
578	2066	69306
579	2070	69311
580	2074	69328
581	2077	69315
582	2081	69323
583	2084	69294
584	2086	69251
585	2090	69268
586	2093	69233
587	2098	69269
588	2100	69225
589	2103	69204
590	2107	69218
591	2110	69179
592	2112	69146
593	2117	69167
594	2119	69131
595	2123	69141
596	2126	69121
597	2130	69116
598	2133	69105
599	2137	69106
600	2141	69134
601	2145	69122
602	2148	69124
603	2152	69114
604	2156	69123
605	2158	69078
606	2162	69098
607	2166	69111
608	2171	69136
609	2174	69117
610	2177	69111
611	2181	69104
612	2184	69088
613	2188	69094
614	2191	69081
615	2195	69085
616	2199	69088
617	2203	69111
618	2207	69118
619	2211	69117
620	2214	69119
621	2219	69142
622	2223	69159
623	2227	69161
624	2231	69167
625	2235	69177
626	2238	69164
627	2241	69147
628	2245	69151
629	2249	69169
630	2252	69153
631	2255	69133
632	2260	69154
633	2263	69154
634	2267	69138
635	2270	69125
636	2273	69104
637	2277	69125
638	2280	69088
639	2283	69085
640	2287	69073
641	2290	69068
642	2292	69028
643	2295	68988
644	2300	69021
645	2303	69014
646	2306	68987
647	2310	68992
648	2313	68977
649	2316	68961
650	2319	68948
651	2323	68945
652	2326	68918
653	2329	68916
654	2333	68910
655	2336	68894
656	2340	68916
657	2343	68900
658	2348	68914
659	2351	68898
660	2355	68905
661	2358	68888
662	2361	68883
663	2364	68864
664	2368	68876
665	2371	68858
666	2376	68884
667	2380	68885
668	2384	68894
669	2388	68897
670	2392	68904
671	2395	68895
672	2397	68861
673	2401	68862
674	2405	68868
675	2409	68863
676	2413	68872
677	2416	68856
678	2420	68874
679	2424	68876
680	2428	68882
681	2431	68880
682	2435	68869
683	2438	68854
684	2441	68847
685	2445	68853
686	2449	68856
687	2453	68867
688	2457	68864
689	2460	68869
690	2465	68891
691	2470	68919
692	2472	68891
693	2476	68889
694	2480	68891
695	2483	68872
696	2486	68861
697	2490	68874
698	2494	68873
699	2497	68873
700	2501	68855
701	2503	68821
702	2506	68798
703	2510	68799
704	2512	68770
705	2516	68767
706	2519	68764
707	2522	68734
708	2525	68724
709	2529	68718
710	2531	68690
711	2535	68680
712	2538	68657
713	2541	68640
714	2543	68613
715	2548	68625
716	2551	68619
717	2554	68605
718	2556	68563
719	2560	68562
720	2563	68543
721	2567	68547
722	2570	68526
723	2573	68518
724	2577	68515
725	2580	68507
726	2584	68503
727	2587	68492
728	2590	68470
729	2594	68479
730	2597	68481
731	2602	68502
732	2605	68489
733	2608	68474
734	2612	68471
735	2615	68445
736	2619	68456
737	2622	68452
738	2625	68422
739	2629	68436
740	2631	68405
741	2635	68406
742	2639	68414
743	2642	68403
744	2646	68394
745	2648	68362
746	2651	68344
747	2655	68353
748	2659	68360
749	2662	68349
750	2666	68344
751	2670	68353
752	2674	68348
753	2677	68343
754	2680	68327
755	2683	68298
756	2687	68309
757	2690	68303
758	2693	68294
759	2698	68305
760	2700	68277
761	2703	68247
762	2707	68269
763	2712	68286
764	2715	68273
765	2719	68281
766	2723	68297
767	2727	68292
768	2730	68278
769	2733	68265
770	2736	68256
771	2739	68219
772	2742	68224
773	2745	68208
774	2750	68224
775	2754	68226
776	2757	68226
777	2760	68214
778	2764	68220
779	2768	68206
780	2772	68219
781	2776	68222
782	2780	68229
783	2783	68222
784	2786	68206
785	2789	68185
786	2792	68176
787	2795	68164
788	2799	68154
789	2802	68148
790	2806	68146
791	2809	68135
792	2813	68134
793	2816	68128
794	2820	68135
795	2824	68137
796	2827	68129
797	2830	68113
798	2834	68108
799	2838	68112
800	2841	68113
801	2845	68110
802	2848	68096
803	2852	68105
804	2856	68122
805	2860	68127
806	2864	68122
807	2867	68116
808	2871	68124
809	2875	68117
810	2878	68104
811	2882	68108
812	2886	68123
813	2890	68117
814	2893	68121
815	2897	68113
816	2900	68106
817	2904	68117
818	2908	68107
819	2911	68098
820	2914	68083
821	2918	68081
822	2921	68068
823	2924	68066
824	2928	68061
825	2932	68070
826	2936	68075
827	2940	68079
828	2944	68088
829	2948	68090
830	2950	68069
831	2955	68083
832	2958	68082
833	2962	68082
834	2966	68088
835	2970	68102
836	2974	68110
837	2978	68108
838	2981	68093
839	2985	68097
840	2989	68097
841	2992	68077
842	2996	68090
843	3000	68101
844	3004	68100
845	3008	68106
846	3011	68099
847	3015	68099
848	3018	68081
849	3021	68074
850	3025	68086
851	3029	68094
852	3032	68064
853	3035	68054
854	3038	68046
855	3043	68060
856	3047	68068
857	3050	68060
858	3054	68061
859	3057	68049
860	3060	68022
861	3064	68031
862	3068	68036
863	3072	68040
864	3075	68030
865	3079	68036
866	3083	68042
867	3087	68045
868	3090	68045
869	3094	68033
870	3097	68027
871	3101	68034
872	3104	68027
873	3108	68018
874	3111	68004
875	3114	67999
876	3116	67960
877	3120	67959
878	3122	67930
879	3125	67915
880	3129	67909
881	3132	67892
882	3135	67883
883	3139	67883
884	3142	67870
885	3145	67858
886	3148	67847
887	3152	67852
888	3156	67848
889	3159	67847
890	3163	67847
891	3166	67834
892	3169	67810
893	3173	67827
894	3177	67838
895	3180	67819
896	3184	67816
897	3187	67811
898	3191	67799
899	3194	67794
900	3198	67806
901	3201	67791
